Chad,51,50,52,1700,980,0.6,1,31,14,0.24,0.81,Ñ,15,13.7,48,14,1,21.8,37.4,95,6.5,48,2,2130,22,279,5,2
Congo,58,57,59,670,410,0.9,1.4,57,50,0.75,0.94,Ñ,12,4.8,37,10,-8,6.7,10.2,61,4.8,41,3,5120,64,870,45,20
Congo Dem. Rep.,50,48,52,1000,730,0.3,0.5,54,33,0.45,0.97,Ñ,8,73.3,46,16,0,114.9,193.6,108,6.6,46,3,700,42,1044,20,8
Equatorial Guinea,57,56,59,1600,290,1.3,2.5,Ñ,Ñ,Ñ,0.88,Ñ,20,0.8,37,13,5,1.2,1.8,70,5.1,39,3,22480,39,667,13,10
Gabon,63,62,64,380,240,0.6,1.3,Ñ,Ñ,Ñ,0.86,35,16,1.8,32,9,1,2.4,3.3,43,4.1,38,5,16500,86,523,31,19
Sao Tome and Principe,66,64,68,410,210,0.2,0.2,76,85,0.86,0.58,Ñ,18,0.2,36,7,-6,0.3,0.4,43,4.3,42,4,3030,67,2239,38,33
SOUTHERN AFRICA,61,59,63,190,156,4.2,8.3,102,109,1.36,0.75,45,39,63,23,10,3,69,77,36,2.7,31,5,12290,59,464,60,59
Botswana,64,62,67,360,170,5.7,8.9,79,84,1.25,0.88,41,10,2.1,26,8,2,2.3,2.5,31,2.9,33,5,17460,57,755,53,51
Lesotho,44,43,46,720,490,5.9,10.2,45,62,1.46,0.8,Ñ,25,1.9,31,20,-5,2.3,3,59,3.3,36,5,3260,27,682,60,60
Namibia,64,62,67,320,130,2.9,5,Ñ,Ñ,1.28,0.86,43,38,2.5,29,7,0,3.3,4.7,39,3.6,35,4,9880,46,301,56,55
South Africa,61,59,63,150,140,4,8.1,107,114,1.37,0.74,46,41,55,22,10,3,59.8,65.2,34,2.6,30,6,12700,62,458,60,60
Swaziland,49,50,48,550,310,7.2,15.5,61,60,1.05,0.61,Ñ,15,1.3,30,14,-1,1.5,1.8,50,3.3,37,4,5940,21,733,66,66
AMERICAS,76,74,79,83,61,Ñ,Ñ,90,93,Ñ,0.73,45,22,987,16,7,1,1116,1221,14,2,24,10,29900,80,266,73,68
NORTHERN AMERICA,79,77,81,11,26,Ñ,Ñ,96,95,1.37,0.82,48,21,357,12,8,3,401,445,6,1.8,19,15,54620,81,178,74,68
Canada,81,79,84,6,11,Ñ,Ñ,112,111,Ñ,0.87,50,28,35.8,11,7,6,41,46.9,4.8,1.6,16,16,43400,80,79,74,72
United States,79,76,81,12,28,Ñ,Ñ,94,94,1.37,0.82,48,20,321.2,13,8,3,359.4,398.3,6,1.9,19,15,55860,81,207,74,68
LATIN AMERICA AND THE CARIBBEAN,75,72,78,130,79,0.2,0.1,87,92,Ñ,0.67,44,23,630,18,6,-1,716,776,17,2.1,27,7,15260,80,371,73,67
CENTRAL AMERICA,75,72,78,111,63,0.1,<0.1,80,86,1.02,0.56,40,34,173,20,5,-2,205,231,14,2.4,29,6,14420,74,585,71,65
Belize,74,71,77,75,45,0.3,0.4,83,89,1.68,0.6,Ñ,13,0.4,21,4,4,0.5,0.5,13,2.4,36,4,7870,44,475,55,52
Costa Rica,79,77,82,38,38,0.1,<0.1,105,113,1.24,0.59,43,33,4.8,15,4,2,5.6,6.1,8.1,1.9,23,7,13900,73,1972,76,75
El Salvador,73,68,77,110,69,0.2,0.2,70,71,1.13,0.61,33,32,6.4,18,5,-8,6.8,6.8,17,2,31,7,7720,67,904,72,68
Guatemala,73,69,76,270,140,0.2,0.2,68,62,1.04,0.56,37,13,16.2,25,5,-1,21.4,27.5,19,3.1,40,5,7260,52,1056,54,44
Honduras,74,72,76,290,120,0.2,0.2,64,78,1.38,0.52,Ñ,26,8.3,24,5,-2,10.2,11.7,22,2.7,34,5,4120,54,819,73,64
Mexico,75,73,78,88,49,0.1,<0.1,84,91,0.96,0.56,40,37,127,19,5,-2,148.1,163.8,13,2.3,28,7,16710,79,526,73,66
Nicaragua,75,72,78,170,100,0.2,<0.1,66,72,Ñ,0.59,Ñ,39,6.3,23,5,-4,7.4,8.4,16,2.4,32,5,4670,59,416,80,77
Panama,78,75,80,98,85,0.2,0.1,71,76,1.56,0.6,44,19,4,19,5,2,4.9,5.8,17,2.7,28,8,19630,78,744,63,60
CARIBBEAN,73,70,76,242,169,0.4,0.5,80,85,Ñ,0.7,45,24,43,18,8,-4,47,50,28,2.3,26,9,12800,68,793,62,59
