country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
Eritrea,6.598,35.0,61.564,0.3,2.59364939719524,4.284,1590.0,0.9
Estonia,11.8,2.5,72.8,,18.5295885209196,1.52,42.0,79.4
Ethiopia,7.411,42.9,62.156,0.6,3.45337849509005,4.395,1250.0,1.9
Faroe Islands,8.1,,79.4,,,2.6,,90.0
Fiji,6.894,19.4,67.154,0.1,5.63912234192565,2.564,63.0,37.1
Finland,9.6,2.0,78.3,,19.8080902829738,1.75,6.0,91.5144
France,8.4,3.6,79.3,,18.6690889318142,1.99,15.0,81.9198
French Polynesia,5.57,,74.329,,7.33716728441174,2.043,,56.8
Gabon,8.626,37.0,63.759,1.3,5.15544184211041,3.909,422.0,9.2
"Gambia, The",8.729,48.6,58.906,0.7,2.33590792661139,5.717,1030.0,14.0
Georgia,11.517,11.3,71.154,0.1,14.1161809806448,1.816,34.0,43.3
Germany,10.8,3.2,78.6,,21.070280975949,1.39,11.0,84.17
Ghana,8.948,44.2,60.357,0.6,3.42673227858199,4.168,634.0,12.3
Greece,10.5,3.7,78.7,,20.8689440754957,1.3,5.0,59.8663
Greenland,8.2,,,,,2.037,,65.8
Grenada,7.155,11.1,70.999,,7.14910342363351,2.149,41.0,35.0
Guam,4.831,,76.567,,8.40858764615651,2.386,,65.4
Guatemala,5.37,25.1,68.279,0.2,4.76306256928447,3.211,205.0,19.7
Guinea,9.944,62.8,58.271,0.7,3.061905203744,5.013,1040.0,1.6
Guinea-Bissau,12.106,62.4,53.422,1.5,3.14771401261751,4.835,907.0,3.1
Guyana,8.137,32.6,64.163,1.2,4.85905748579972,2.558,171.0,35.0
Haiti,8.717,53.5,60.665,0.8,4.57941422597308,3.033,625.0,10.6
Honduras,5.011,18.0,70.684,0.2,4.7357969674742,2.382,272.0,17.8
"Hong Kong SAR, China",6.2,,81.2,,14.526830360423,1.234,,74.2
Hungary,12.8,5.3,72.8,,17.5340612404622,1.35,24.0,72.6439
Iceland,6.3,1.6,80.5,,13.3329056147233,1.93,7.0,96.5468
India,7.339,39.3,66.606,,5.48830449671205,2.427,556.0,15.1
Indonesia,7.161,23.6,66.868,0.4,5.10861501684987,2.463,446.0,14.94
"Iran, Islamic Rep.",4.636,13.9,74.302,0.1,4.96973752593365,1.707,123.0,29.95
